"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HCLTECH","EQ","14-Jan-2026","1,665.00","1,665.00","1,677.90","1,649.20","1,669.90","1,668.50","1,667.72","24,70,615","4,12,02,85,043.90","85,398","16,60,046","67.19"
"HCLTECH","EQ","13-Jan-2026","1,667.60","1,685.00","1,697.60","1,626.00","1,664.00","1,665.00","1,657.40","71,49,266","11,84,91,85,678.50","1,63,224","31,08,155","43.48"
"HCLTECH","EQ","12-Jan-2026","1,661.40","1,659.20","1,677.20","1,641.50","1,667.00","1,667.60","1,657.06","41,75,707","6,91,94,07,713.10","92,791","24,91,602","59.67"
"HCLTECH","EQ","09-Jan-2026","1,646.70","1,647.10","1,675.00","1,647.10","1,662.10","1,661.40","1,664.49","32,81,306","5,46,17,02,648.90","1,22,218","19,16,808","58.42"
"HCLTECH","EQ","08-Jan-2026","1,647.70","1,653.30","1,660.60","1,635.40","1,643.00","1,646.70","1,649.47","32,66,398","5,38,78,28,055.50","1,37,914","19,30,804","59.11"
"HCLTECH","EQ","07-Jan-2026","1,616.30","1,620.80","1,654.50","1,616.70","1,654.50","1,647.70","1,638.36","38,16,569","6,25,29,15,761.90","1,19,727","24,54,143","64.30"
"HCLTECH","EQ","06-Jan-2026","1,607.60","1,600.30","1,626.00","1,597.30","1,615.40","1,616.30","1,616.64","21,12,043","3,41,44,22,351.70","74,528","13,67,734","64.76"
"HCLTECH","EQ","05-Jan-2026","1,640.20","1,625.00","1,633.50","1,580.10","1,605.00","1,607.60","1,602.85","32,45,802","5,20,25,35,373.30","1,11,403","17,58,734","54.18"
"HCLTECH","EQ","02-Jan-2026","1,634.50","1,632.00","1,643.00","1,625.10","1,640.00","1,640.20","1,636.46","9,50,573","1,55,55,76,603.50","51,428","4,50,570","47.40"
"HCLTECH","EQ","01-Jan-2026","1,623.30","1,622.90","1,645.70","1,618.40","1,632.00","1,634.50","1,636.32","7,73,806","1,26,61,96,099.80","37,755","3,86,921","50.00"
"HCLTECH","EQ","31-Dec-2025","1,615.20","1,624.50","1,631.70","1,616.80","1,620.10","1,623.30","1,624.23","13,59,963","2,20,88,91,261.30","44,369","8,31,762","61.16"
"HCLTECH","EQ","30-Dec-2025","1,630.80","1,630.80","1,635.70","1,611.10","1,621.50","1,615.20","1,619.83","33,23,273","5,38,31,30,430.80","1,12,154","22,79,686","68.60"
"HCLTECH","EQ","29-Dec-2025","1,660.90","1,659.70","1,660.80","1,625.40","1,630.60","1,630.80","1,642.60","15,16,288","2,49,06,51,496.00","68,600","8,61,939","56.85"
"HCLTECH","EQ","26-Dec-2025","1,674.70","1,668.00","1,676.40","1,650.50","1,661.20","1,660.90","1,660.76","9,21,138","1,52,97,84,855.20","53,805","5,53,166","60.05"
"HCLTECH","EQ","24-Dec-2025","1,679.90","1,676.00","1,680.00","1,665.10","1,675.50","1,674.70","1,674.72","9,89,858","1,65,77,31,133.30","48,783","5,94,881","60.10"
"HCLTECH","EQ","23-Dec-2025","1,670.30","1,675.10","1,686.90","1,656.20","1,674.80","1,679.90","1,674.59","16,14,314","2,70,33,08,179.20","60,466","9,48,080","58.73"
"HCLTECH","EQ","22-Dec-2025","1,642.40","1,651.90","1,673.50","1,644.00","1,665.00","1,670.30","1,665.51","13,39,691","2,23,12,64,930.00","62,953","7,52,237","56.15"
"HCLTECH","EQ","19-Dec-2025","1,661.40","1,675.00","1,681.00","1,632.50","1,641.80","1,642.40","1,644.84","34,87,150","5,73,57,98,131.40","1,05,652","21,18,195","60.74"
"HCLTECH","EQ","18-Dec-2025","1,655.00","1,657.00","1,673.90","1,651.20","1,663.00","1,661.40","1,660.82","18,22,056","3,02,60,99,482.70","94,524","10,62,386","58.31"
"HCLTECH","EQ","17-Dec-2025","1,651.70","1,651.00","1,664.50","1,646.30","1,655.10","1,655.00","1,654.82","13,94,918","2,30,83,38,881.10","60,273","9,11,322","65.33"
"HCLTECH","EQ","16-Dec-2025","1,684.00","1,681.00","1,682.00","1,645.40","1,651.80","1,651.70","1,653.45","19,29,309","3,19,00,10,112.70","80,374","12,34,129","63.97"
"HCLTECH","EQ","15-Dec-2025","1,673.20","1,673.20","1,688.00","1,660.00","1,686.40","1,684.00","1,681.83","16,89,723","2,84,18,19,619.10","67,813","11,42,528","67.62"
"HCLTECH","EQ","12-Dec-2025","1,672.40","1,677.40","1,677.90","1,660.00","1,670.00","1,673.20","1,669.69","12,84,337","2,14,44,44,642.20","44,240","8,43,637","65.69"
"HCLTECH","EQ","11-Dec-2025","1,666.00","1,667.50","1,677.40","1,649.00","1,672.40","1,672.40","1,666.62","14,08,684","2,34,77,43,572.80","57,108","7,81,957","55.51"
"HCLTECH","EQ","10-Dec-2025","1,657.60","1,663.30","1,671.00","1,657.00","1,665.90","1,666.00","1,664.38","14,82,249","2,46,70,27,638.10","62,506","9,38,334","63.30"
"HCLTECH","EQ","09-Dec-2025","1,688.60","1,687.00","1,687.00","1,656.40","1,657.90","1,657.60","1,666.53","28,17,704","4,69,57,82,243.50","81,151","17,93,290","63.64"
"HCLTECH","EQ","08-Dec-2025","1,683.00","1,683.00","1,695.40","1,676.90","1,685.00","1,688.60","1,688.85","27,02,407","4,56,39,66,285.60","99,082","17,21,389","63.70"
"HCLTECH","EQ","05-Dec-2025","1,654.60","1,662.70","1,691.00","1,651.00","1,681.00","1,683.00","1,679.98","33,91,204","5,69,71,68,485.40","69,175","21,36,069","62.99"
"HCLTECH","EQ","04-Dec-2025","1,640.50","1,650.00","1,672.00","1,645.10","1,655.50","1,654.60","1,658.55","39,35,708","6,52,75,74,096.40","1,36,665","22,20,796","56.43"
"HCLTECH","EQ","03-Dec-2025","1,635.50","1,635.50","1,654.60","1,628.80","1,639.20","1,640.50","1,638.68","23,71,611","3,88,63,15,623.60","74,755","14,74,264","62.16"
"HCLTECH","EQ","02-Dec-2025","1,642.90","1,651.00","1,652.90","1,624.00","1,634.60","1,635.50","1,635.10","23,26,220","3,80,36,11,581.70","77,081","15,41,240","66.26"
"HCLTECH","EQ","01-Dec-2025","1,624.20","1,630.00","1,646.50","1,628.00","1,642.50","1,642.90","1,639.51","20,34,350","3,33,53,41,377.10","80,611","14,18,189","69.71"
"HCLTECH","EQ","28-Nov-2025","1,629.00","1,629.00","1,636.90","1,619.00","1,623.80","1,624.20","1,627.54","18,41,289","2,99,67,71,288.10","51,177","11,61,817","63.10"
"HCLTECH","EQ","27-Nov-2025","1,617.90","1,619.10","1,633.20","1,614.00","1,630.20","1,629.00","1,625.43","21,06,176","3,42,34,37,408.10","61,398","14,01,129","66.52"
"HCLTECH","EQ","26-Nov-2025","1,601.10","1,601.10","1,627.50","1,601.10","1,620.00","1,617.90","1,618.84","12,43,303","2,01,27,14,636.50","71,530","7,00,079","56.31"
"HCLTECH","EQ","25-Nov-2025","1,610.40","1,618.30","1,618.90","1,592.60","1,598.90","1,601.10","1,601.61","22,85,950","3,66,12,09,695.50","99,411","16,08,036","70.34"
"HCLTECH","EQ","24-Nov-2025","1,608.00","1,614.30","1,640.00","1,602.90","1,612.00","1,610.40","1,617.14","63,92,688","10,33,78,78,943.40","1,19,732","47,05,091","73.60"
"HCLTECH","EQ","21-Nov-2025","1,645.40","1,636.00","1,643.50","1,606.00","1,608.80","1,608.00","1,622.45","29,58,835","4,80,05,51,729.20","81,557","20,22,536","68.36"
"HCLTECH","EQ","20-Nov-2025","1,662.60","1,662.60","1,668.40","1,642.60","1,644.40","1,645.40","1,652.84","27,24,035","4,50,24,00,178.90","97,466","17,10,690","62.80"
"HCLTECH","EQ","19-Nov-2025","1,595.20","1,595.30","1,669.50","1,588.60","1,662.00","1,662.60","1,650.37","63,42,672","10,46,77,60,788.20","1,59,231","34,19,711","53.92"
"HCLTECH","EQ","18-Nov-2025","1,606.40","1,604.00","1,604.00","1,590.10","1,592.50","1,595.20","1,595.15","16,40,123","2,61,62,43,523.70","52,117","11,09,368","67.64"
"HCLTECH","EQ","17-Nov-2025","1,594.60","1,594.00","1,607.70","1,585.50","1,605.50","1,606.40","1,599.95","20,00,978","3,20,14,65,766.60","65,072","14,27,021","71.32"
"HCLTECH","EQ","14-Nov-2025","1,598.50","1,590.00","1,598.00","1,574.10","1,596.90","1,594.60","1,588.33","25,43,918","4,04,05,86,657.30","1,05,226","18,09,622","71.14"
"HCLTECH","EQ","13-Nov-2025","1,594.00","1,599.40","1,605.00","1,580.00","1,597.30","1,598.50","1,596.49","19,44,022","3,10,36,16,363.10","76,589","12,49,265","64.26"
"HCLTECH","EQ","12-Nov-2025","1,570.00","1,575.00","1,600.00","1,573.50","1,593.00","1,594.00","1,591.30","23,31,564","3,71,02,13,658.80","1,13,539","14,77,434","63.37"
"HCLTECH","EQ","11-Nov-2025","1,540.50","1,547.80","1,572.50","1,541.20","1,571.50","1,570.00","1,558.43","22,70,763","3,53,88,16,232.90","74,960","13,63,854","60.06"
"HCLTECH","EQ","10-Nov-2025","1,512.40","1,518.00","1,544.90","1,511.40","1,540.00","1,540.50","1,538.01","15,58,896","2,39,76,03,291.60","79,181","8,23,136","52.80"
"HCLTECH","EQ","07-Nov-2025","1,526.40","1,515.10","1,518.80","1,490.50","1,511.00","1,512.40","1,508.39","22,38,714","3,37,68,49,701.40","69,134","14,30,918","63.92"
"HCLTECH","EQ","06-Nov-2025","1,529.10","1,529.10","1,531.90","1,514.30","1,527.00","1,526.40","1,525.70","24,74,769","3,77,57,46,001.70","83,301","15,82,516","63.95"
"HCLTECH","EQ","04-Nov-2025","1,543.50","1,536.40","1,541.90","1,525.00","1,525.00","1,529.10","1,530.36","16,66,863","2,55,08,92,564.30","56,491","10,27,164","61.62"
"HCLTECH","EQ","03-Nov-2025","1,541.50","1,540.10","1,549.70","1,528.20","1,544.00","1,543.50","1,540.77","22,52,136","3,47,00,15,025.40","54,640","13,88,810","61.67"
"HCLTECH","EQ","31-Oct-2025","1,549.80","1,549.80","1,558.20","1,537.60","1,540.00","1,541.50","1,545.71","17,23,467","2,66,39,84,409.20","58,952","11,07,505","64.26"
"HCLTECH","EQ","30-Oct-2025","1,557.30","1,557.70","1,559.90","1,538.10","1,549.90","1,549.80","1,547.65","21,83,395","3,37,91,23,069.40","70,828","13,61,115","62.34"
"HCLTECH","EQ","29-Oct-2025","1,522.10","1,530.00","1,559.00","1,522.00","1,556.50","1,557.30","1,549.69","25,96,355","4,02,35,35,238.60","71,502","17,73,422","68.30"
"HCLTECH","EQ","28-Oct-2025","1,533.50","1,535.00","1,542.00","1,512.00","1,522.00","1,522.10","1,522.39","19,36,466","2,94,80,58,041.50","76,051","11,19,172","57.79"
"HCLTECH","EQ","27-Oct-2025","1,523.80","1,531.40","1,549.50","1,526.80","1,534.50","1,533.50","1,539.22","13,94,846","2,14,69,71,249.60","84,284","8,32,393","59.68"
"HCLTECH","EQ","24-Oct-2025","1,523.90","1,525.00","1,532.60","1,516.40","1,524.90","1,523.80","1,523.82","14,91,451","2,27,27,01,215.80","54,165","9,45,961","63.43"
"HCLTECH","EQ","23-Oct-2025","1,486.00","1,510.00","1,547.50","1,505.50","1,524.90","1,523.90","1,531.37","50,11,470","7,67,44,06,767.70","1,49,624","25,33,689","50.56"
"HCLTECH","EQ","21-Oct-2025","1,495.40","1,502.70","1,503.00","1,481.00","1,486.50","1,486.00","1,490.39","2,74,400","40,89,63,318.20","10,319","1,86,574","68.00"
"HCLTECH","EQ","20-Oct-2025","1,486.20","1,489.90","1,509.90","1,489.10","1,496.00","1,495.40","1,498.57","23,54,881","3,52,89,62,542.70","66,924","14,70,897","62.46"
"HCLTECH","EQ","17-Oct-2025","1,515.00","1,499.00","1,501.30","1,479.20","1,484.90","1,486.20","1,492.04","32,10,161","4,78,96,78,562.60","1,04,856","21,52,928","67.07"
"HCLTECH","EQ","16-Oct-2025","1,495.70","1,499.90","1,519.90","1,498.00","1,514.30","1,515.00","1,512.81","20,21,043","3,05,74,56,460.90","82,924","12,64,159","62.55"
"HCLTECH","EQ","15-Oct-2025","1,495.40","1,497.90","1,509.40","1,486.10","1,496.10","1,495.70","1,497.08","17,10,696","2,56,10,46,198.60","86,922","8,99,024","52.55"
"HCLTECH","EQ","14-Oct-2025","1,494.70","1,515.40","1,535.00","1,490.20","1,492.00","1,495.40","1,509.47","58,02,489","8,75,87,11,572.10","1,53,143","20,40,294","35.16"
