"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TCS","EQ","24-Sep-2026","2,089.60","2,076.00","2,096.90","2,067.10","2,087.00","2,087.00","2,083.17","17,60,662","3,66,77,60,430.70","82,859","7,70,410","43.76"
"TCS","EQ","23-Sep-2026","2,105.00","2,099.00","2,104.20","2,077.60","2,089.60","2,089.60","2,087.81","22,28,402","4,65,24,82,720.10","1,12,320","12,12,713","54.42"
"TCS","EQ","22-Sep-2026","2,128.70","2,135.10","2,135.20","2,098.20","2,105.00","2,105.00","2,108.34","36,41,623","7,67,77,93,595.30","1,08,224","20,02,739","55.00"
"TCS","EQ","21-Sep-2026","2,105.00","2,090.00","2,145.00","2,075.30","2,128.70","2,128.70","2,122.48","23,30,811","4,94,70,96,582.70","99,052","9,27,858","39.81"
"TCS","EQ","18-Sep-2026","2,190.00","2,177.20","2,177.30","2,101.20","2,105.00","2,105.00","2,117.95","68,75,428","14,56,18,28,863.30","1,88,367","39,72,356","57.78"
"TCS","EQ","17-Sep-2026","2,188.80","2,171.00","2,263.60","2,162.50","2,190.00","2,190.00","2,199.14","32,95,917","7,24,81,74,115.10","1,12,948","12,02,973","36.50"
"TCS","EQ","16-Sep-2026","2,251.00","2,270.00","2,273.90","2,172.00","2,188.80","2,188.80","2,211.09","27,63,709","6,11,07,96,502.60","1,37,572","11,75,082","42.52"
"TCS","EQ","15-Sep-2026","2,200.80","2,275.50","2,323.00","2,251.00","2,251.00","2,251.00","2,295.85","54,06,210","12,41,18,28,916.10","1,81,099","23,47,086","43.41"
"TCS","EQ","11-Sep-2026","2,204.10","2,185.50","2,232.60","2,185.50","2,200.80","2,200.80","2,210.94","26,34,124","5,82,38,96,659.40","1,02,069","12,21,983","50.96"
"TCS","EQ","10-Sep-2026","2,208.00","2,199.00","2,232.00","2,190.60","2,204.10","2,204.10","2,205.28","24,90,912","5,49,31,46,435.50","79,204","12,44,751","49.97"
"TCS","EQ","09-Sep-2026","2,255.50","2,237.00","2,237.00","2,193.20","2,208.00","2,208.00","2,207.41","33,70,071","7,43,91,43,444.60","1,24,491","20,05,311","59.50"
"TCS","EQ","08-Sep-2026","2,270.00","2,270.00","2,274.50","2,244.00","2,255.50","2,255.50","2,263.52","21,48,114","4,86,23,08,617.40","70,112","11,29,391","52.58"
"TCS","EQ","07-Sep-2026","2,304.00","2,290.10","2,299.90","2,260.10","2,270.00","2,270.00","2,273.31","22,97,551","5,22,30,48,792.00","70,867","12,01,565","52.30"
"TCS","EQ","04-Sep-2026","2,320.10","2,330.00","2,363.90","2,302.40","2,304.00","2,304.00","2,320.69","25,64,322","5,95,10,09,095.30","1,12,846","15,42,024","60.13"
"TCS","EQ","03-Sep-2026","2,348.00","2,353.60","2,353.60","2,316.10","2,320.10","2,320.10","2,332.39","18,92,786","4,41,47,10,140.10","90,065","8,87,515","46.89"
"TCS","EQ","02-Sep-2026","2,369.00","2,347.90","2,363.00","2,303.50","2,348.00","2,348.00","2,338.28","25,33,005","5,92,28,81,120.10","96,240","12,15,773","48.00"
"TCS","EQ","01-Sep-2026","2,399.30","2,355.00","2,372.00","2,325.00","2,369.00","2,369.00","2,354.15","26,78,034","6,30,44,99,313.40","84,239","12,31,803","46.00"
"TCS","EQ","31-Aug-2026","2,342.00","2,342.00","2,399.30","2,306.20","2,399.30","2,399.30","2,355.43","29,05,846","6,84,45,16,701.50","69,557","20,27,420","69.77"
"TCS","EQ","28-Aug-2026","2,248.40","2,272.00","2,348.50","2,263.30","2,342.00","2,342.00","2,327.97","40,54,069","9,43,77,54,087.90","1,55,502","16,04,350","39.57"
"TCS","EQ","27-Aug-2026","2,270.00","2,270.00","2,283.60","2,243.90","2,248.40","2,248.40","2,255.48","17,09,113","3,85,48,63,391.00","1,31,520","9,31,995","54.53"
"TCS","EQ","26-Aug-2026","2,296.20","2,305.10","2,306.30","2,266.40","2,270.00","2,270.00","2,277.39","16,60,737","3,78,21,46,389.70","59,558","9,06,172","54.56"
"TCS","EQ","25-Aug-2026","2,284.10","2,305.00","2,313.50","2,262.00","2,296.20","2,296.20","2,283.22","30,41,609","6,94,46,64,134.30","1,06,591","11,44,023","37.61"
"TCS","EQ","24-Aug-2026","2,302.00","2,302.40","2,321.60","2,279.50","2,284.10","2,284.10","2,295.75","15,42,723","3,54,17,10,701.30","64,928","7,32,967","47.51"
"TCS","EQ","21-Aug-2026","2,298.00","2,290.10","2,307.20","2,263.30","2,302.00","2,302.00","2,290.60","20,66,749","4,73,41,04,913.40","67,486","7,59,655","36.76"
"TCS","EQ","20-Aug-2026","2,289.00","2,319.40","2,329.00","2,288.10","2,298.00","2,298.00","2,300.39","20,47,848","4,71,08,59,154.30","77,501","9,67,365","47.24"
"TCS","EQ","19-Aug-2026","2,280.00","2,293.60","2,308.20","2,258.30","2,289.00","2,289.00","2,278.77","33,68,922","7,67,69,87,882.60","1,22,060","17,80,817","52.86"
"TCS","EQ","18-Aug-2026","2,313.20","2,300.00","2,307.00","2,280.00","2,280.00","2,280.00","2,288.70","17,97,822","4,11,46,77,787.50","83,531","7,99,420","44.47"
"TCS","EQ","17-Aug-2026","2,361.00","2,351.00","2,361.10","2,310.60","2,313.20","2,313.20","2,322.55","22,37,636","5,19,70,11,547.50","94,783","11,71,943","52.37"
"TCS","EQ","14-Aug-2026","2,375.00","2,375.10","2,390.00","2,333.40","2,361.00","2,361.00","2,355.73","22,32,160","5,25,83,62,456.30","76,239","11,41,107","51.12"
"TCS","EQ","13-Aug-2026","2,349.70","2,349.70","2,375.00","2,332.30","2,375.00","2,375.00","2,357.77","21,23,494","5,00,67,04,619.10","95,241","7,76,824","36.58"
"TCS","EQ","12-Aug-2026","2,445.70","2,445.70","2,445.80","2,300.10","2,349.70","2,349.70","2,341.12","70,22,647","16,44,08,82,989.40","2,69,920","27,60,210","39.30"
"TCS","EQ","11-Aug-2026","2,425.70","2,438.00","2,456.60","2,428.00","2,445.70","2,445.70","2,439.75","15,14,105","3,69,40,41,243.50","81,637","6,19,402","40.91"
"TCS","EQ","10-Aug-2026","2,452.70","2,452.70","2,472.90","2,423.50","2,425.70","2,425.70","2,449.22","23,22,023","5,68,71,53,770.30","1,19,267","11,36,140","48.93"
"TCS","EQ","07-Aug-2026","2,373.00","2,375.00","2,457.70","2,375.00","2,452.70","2,452.70","2,435.68","45,47,979","11,07,74,36,216.60","2,94,165","23,79,051","52.31"
"TCS","EQ","06-Aug-2026","2,413.00","2,417.00","2,434.50","2,368.50","2,373.00","2,373.00","2,393.09","27,29,141","6,53,10,92,780.40","1,16,317","13,75,561","50.40"
"TCS","EQ","05-Aug-2026","2,460.00","2,460.00","2,460.90","2,408.00","2,413.00","2,413.00","2,424.72","30,14,409","7,30,91,09,003.30","1,15,103","18,46,595","61.26"
